0.005055235,0.02438872,0.003137742,0.00248574,0.2122249,0.1442724,1.401298E-45,0,0.01102075,0.3955195,0.01086564,0.01101112,0.2333719,0.0270801,0,0,0,0,0.2410371,0.1554957,0.04606702,0.04642997,0.002165576,0.002130876,0.392074,0.01086564,0.007077115,0.03581031,0.5162601,0.1136112,0.01086564,2.598305E-13,0.01091611,0.005351979,1.401298E-45,2.326155E-43,1.401298E-45,2.326155E-43,1.401298E-45,1.401298E-45,0.01086564,0.008061756,0.01086564,0.01088908,0.1287046,0.02751595,0.127588,0.01514515,1.401298E-45,1.744476E-41,0.03260354,1.401298E-45,0.005490827,0.01086564,1.401298E-45,0.4725857,0.4455685,0.008200701,0.0003087701,1.87384E-24,1.172899E-21,0.5769572,0.5685945,Mad
0.000883465,0.004669582,0.01086564,0.01086564,0.07686208,0.0386234,2.408066E-27,0,1.401298E-45,0.01086564,2.791094E-26,1.177034E-26,1.401298E-45,1.401298E-45,0,0,0,0,0.2082088,0.1223853,0,0,0.3487828,0.3063871,0.3379821,0.01086564,0.01086564,0.1025942,0.00767967,1.304651E-14,0.01086564,0.01086564,4.066605E-36,3.105069E-34,0.001611654,0.114133,0.001643354,0.122111,4.945385E-39,4.497641E-39,0.144054,0.1440195,7.691743E-30,6.968721E-30,0.003683903,7.210802E-41,0.003110154,1.248543E-40,0.01086564,0.01054878,0.08764471,3.19867E-16,0.0007431977,1.617753E-30,9.680361E-33,3.300058E-42,1.34879E-36,0.2224617,0.2029945,0.5150085,0.4839079,4.198533E-25,1.459464E-08,Anxious
0.04647539,0.02002775,1.401298E-45,8.565013E-10,0.5907264,0.6038021,1.401298E-45,0,0.01091311,0.07605951,0.251346,0.279099,0.02695777,0,0.02693612,3.881719E-33,0,0,0.2599531,0.1745608,0,0,0.05821805,0.05435845,0.1029736,2.758171E-37,0.01086564,0.008577783,0.2781909,1.542612E-11,0.006457902,1.04424E-10,0.5307701,0.5701725,1.401298E-45,2.942727E-44,3.386697E-39,2.398835E-37,1.401298E-45,1.401298E-45,2.403752E-37,1.96879E-37,0.05383784,0.05432822,0.3174824,0.1259372,0.2636219,0.1032241,1.401298E-45,1.401298E-45,0.07632617,0.08852973,0.06395762,0.01086564,0.01086562,0.00211104,3.902548E-39,0.01663696,0.004221513,0.0245137,0.006270628,0.4148311,0.4473415,Happy
0.3354816,0.2915636,1.583422E-36,1.401298E-45,0.08628869,0.05341377,1.401298E-45,0,0.1563842,0.106073,1.401298E-45,1.401298E-45,2.98904E-22,3.155444E-30,3.406101E-22,4.17061E-23,0,0,0.1963452,0.1105506,0,0,0.1463837,0.109195,0.01086564,0.01086564,0.01086564,2.045896E-43,0.0003907794,0.0002788876,0.5546623,0.527852,1.401298E-45,1.401298E-45,1.401298E-45,0.05352394,1.401298E-45,0.05363768,1.401298E-45,1.401298E-45,0.01086564,0.01086668,0.06658813,0.07939699,2.101948E-44,1.401298E-45,0.006891731,1.401298E-45,0.0351101,0.03317207,0.01871253,4.203895E-44,8.547921E-44,1.401298E-45,0.007799709,1.355056E-42,1.401298E-45,1.667744E-19,8.432457E-21,0.02056735,0.0003986977,1.401298E-45,1.401298E-45,Sad
0.07819562,0.2975572,4.966481E-31,3.375043E-31,0.218713,0.1744851,1.401298E-45,0,0.02845844,0.2319728,0.001657678,0.01081278,0.1413571,0.02132962,0,0,0,0,0.239943,0.1544138,0.01284349,0.01294413,0.007994407,0.005090166,0.05558873,5.554188E-07,0.003749337,1.401298E-45,0.4646421,0.3567685,0.01087221,0.004940007,0.01086564,0.01084294,1.401298E-45,1.518535E-24,1.401298E-45,2.4024E-25,2.278247E-24,1.769324E-27,0.005526449,0.005994993,0.01086564,0.01086564,0.06938773,0.03074027,0.05839472,0.01476489,6.987199E-26,2.326759E-25,0.02678449,1.401298E-45,1.401298E-45,0.01086564,2.337748E-39,0.28837,0.267032,1.305636E-14,3.093248E-21,1.264047E-09,0.03707042,0.4195778,0.3849429,Mad
1.200753E-06,2.467599E-05,1.401298E-45,4.902237E-05,0.4395359,0.4074734,1.401298E-45,0,3.96504E-27,0.09684747,0.3216285,0.344627,0.2158518,0.06065214,0,0,0,0,0.1624383,0.07646093,0.05690182,0.05717202,0.008062597,0.002736135,0.1097633,1.401298E-45,0.002749713,4.962779E-10,0.7007657,0.4415367,0.01086565,0.01082712,0.1644174,0.1672517,1.401298E-45,1.078847E-16,1.277288E-17,3.092925E-16,1.401298E-45,2.633966E-24,1.881136E-18,6.085554E-35,0.05012444,0.0697303,0.2227151,0.1756335,0.1846271,0.150613,1.401298E-45,1.401298E-45,0.03563943,0.1177769,0.111245,0.01086564,1.578917E-36,0.02711946,0.01838462,4.508999E-14,1.105394E-09,0.003895205,0.0002721019,0.4711536,0.4504861,Anxious
0.01815846,0.03907137,1.401298E-45,3.572107E-29,0.2855289,0.2712452,1.401298E-45,0,3.562403E-10,0.03156361,0.1365075,0.1478311,1.158064E-13,0,1.158064E-13,5.775439E-24,0,0,0.1688288,0.08289465,0,0,0.000533679,0.004516064,0.02716411,7.982385E-30,0.001759664,2.265584E-33,3.635319E-08,0.0308013,0.006251516,1.178762E-08,0.261531,0.2710711,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.381886E-28,0.02893782,0.02785757,0.2007259,0.06963431,0.1612124,0.05506353,1.401298E-45,1.401298E-45,0.04569697,1.580249E-24,5.114795E-24,0.01086564,9.239444E-29,3.884281E-31,1.401298E-45,2.262561E-05,0.002912137,0.01392721,0.00658213,0.1763002,0.1655705,Happy
0.5516733,0.5634558,1.065305E-25,2.220889E-18,0.1246205,0.0818754,1.401298E-45,0,0.2096957,0.1494391,8.148101E-28,3.569518E-28,2.00244E-12,0,2.00244E-12,9.846914E-32,0,0,0.218835,0.1331533,0,0,0.2556966,0.2649254,0.03007933,0.01086564,0.01086564,2.508229E-25,0.1964272,0.1787453,0.6974797,0.6848767,1.6214E-30,1.374114E-30,1.401298E-45,0.05369314,1.401298E-45,0.0405278,1.401298E-45,1.401298E-45,0.01648443,0.03125491,0.09219357,0.1031241,2.660039E-19,1.401298E-45,0.007206665,1.401298E-45,0.05919349,0.05520897,0.03814562,1.94215E-27,1.87334E-27,0.001018679,0.01086564,8.038118E-20,8.894235E-06,0.004945284,0.009840035,0.05755175,0.201194,3.060563E-26,5.18187E-26,Sad
0.0001999281,0.001156296,1.206716E-15,1.401298E-45,0.240325,0.1792732,1.401298E-45,0,0.01086564,0.2230187,0.01086564,0.0146194,0.05193629,3.838035E-11,0,0,0,0,0.2697455,0.1843584,0.08664221,0.0874237,8.585573E-14,6.838792E-14,0.2969672,5.873555E-14,0.009811924,0.01250571,0.4479051,0.3089261,0.01201262,0.006361732,0.01086564,0.004859169,1.401298E-45,1.401298E-45,1.401298E-45,3.058894E-41,1.401298E-45,1.401298E-45,0.005840084,7.130501E-08,0.01086564,0.01150068,0.1152585,0.0002025462,0.1032042,0.003388033,1.401298E-45,1.401298E-45,0.03331536,1.164479E-42,3.664395E-42,0.01086564,4.791835E-15,0.3022785,0.2803075,1.429124E-24,1.084831E-13,0.05139841,0.0726805,0.3318563,0.3009673,Mad
0.02785693,0.006520079,1.093053E-32,1.681558E-44,0.09747613,0.0823051,1.401298E-45,0,0.01086565,0.05418405,0.1570799,0.1416777,1.401298E-45,1.401298E-45,0,0,0,0,0.2577168,0.1721928,0,0,0.0432972,0.02670684,0.0542443,4.002632E-11,0.01086564,6.310619E-05,1.369217E-13,1.09099E-07,0.4175291,0.3522974,0.1938318,0.2158493,1.401298E-45,4.825186E-27,1.401298E-45,7.770926E-39,1.401298E-45,1.401298E-45,1.287727E-37,2.101948E-44,0.9999982,0.9999959,0.1488445,0.002387158,0.12966,0.01025798,1.401298E-45,1.401298E-45,0.008729666,0.8355336,0.8420728,5.296038E-37,0.01086564,1.401298E-45,1.712173E-15,0.003125134,0.03229402,0.07899076,0.1576064,0.1648545,0.2116757,Anxious
