BrowLowererL,BrowLowererR,CheekPuffL,CheekPuffR,CheekRaiserL,CheekRaiserR,CheekSuckL,CheekSuckR,ChinRaiserB,ChinRaiserT,DimplerL,DimplerR,EyesClosedL,EyesClosedR,EyesLookDownL,EyesLookDownR,EyesLookLeftL,EyesLookLeftR,EyesLookRightL,EyesLookRightR,EyesLookUpL,EyesLookUpR,InnerBrowRaiserL,InnerBrowRaiserR,JawDrop,JawSidewaysLeft,JawSidewaysRight,JawThrust,LidTightenerL,LidTightenerR,LipCornerDepressorL,LipCornerDepressorR,LipCornerPullerL,LipCornerPullerR,LipFunnelerLB,LipFunnelerLT,LipFunnelerRB,LipFunnelerRT,LipPressorL,LipPressorR,LipPuckerL,LipPuckerR,LipStretcherL,LipStretcherR,LipSuckLB,LipSuckLT,LipSuckRB,LipSuckRT,LipTightenerL,LipTightenerR,LipsToward,LowerLipDepressorL,LowerLipDepressorR,MouthLeft,MouthRight,NoseWrinklerL,NoseWrinklerR,OuterBrowRaiserL,OuterBrowRaiserR,UpperLidRaiserL,UpperLidRaiserR,UpperLipRaiserL,UpperLipRaiserR,Emotion
0.3426794,0.2088949,0.004379901,4.925893E-25,0.1118211,0.04189622,1.401298E-45,0,0.2656433,0.2152551,4.210552E-34,5.323145E-34,3.983117E-07,0,3.983117E-07,1.518648E-27,0,0,0.4201085,0.3361312,0,0,0.4333816,0.3446209,0.04806425,0.01086564,0.01086564,0.01576624,0.07176136,3.968758E-17,0.7631922,0.7382462,2.681936E-34,4.998768E-34,1.401298E-45,0.02689622,1.401298E-45,0.02289185,1.401298E-45,1.401298E-45,0.02977603,0.03703281,0.08735593,0.09902955,0.0001036472,0.0011068,0.01084612,1.961375E-31,0.07992631,0.06744507,0.05212379,2.249217E-29,2.640793E-29,0.002485698,0.009500968,1.350485E-19,0.001646315,0.2108554,0.1770671,0.5681747,0.2178559,6.138195E-34,5.220444E-33,Sad
0.005055235,0.02438872,0.003137742,0.00248574,0.2122249,0.1442724,1.401298E-45,0,0.01102075,0.3955195,0.01086564,0.01101112,0.2333719,0.0270801,0,0,0,0,0.2410371,0.1554957,0.04606702,0.04642997,0.002165576,0.002130876,0.392074,0.01086564,0.007077115,0.03581031,0.5162601,0.1136112,0.01086564,2.598305E-13,0.01091611,0.005351979,1.401298E-45,2.326155E-43,1.401298E-45,2.326155E-43,1.401298E-45,1.401298E-45,0.01086564,0.008061756,0.01086564,0.01088908,0.1287046,0.02751595,0.127588,0.01514515,1.401298E-45,1.744476E-41,0.03260354,1.401298E-45,0.005490827,0.01086564,1.401298E-45,0.4725857,0.4455685,0.008200701,0.0003087701,1.87384E-24,1.172899E-21,0.5769572,0.5685945,Mad
0.000883465,0.004669582,0.01086564,0.01086564,0.07686208,0.0386234,2.408066E-27,0,1.401298E-45,0.01086564,2.791094E-26,1.177034E-26,1.401298E-45,1.401298E-45,0,0,0,0,0.2082088,0.1223853,0,0,0.3487828,0.3063871,0.3379821,0.01086564,0.01086564,0.1025942,0.00767967,1.304651E-14,0.01086564,0.01086564,4.066605E-36,3.105069E-34,0.001611654,0.114133,0.001643354,0.122111,4.945385E-39,4.497641E-39,0.144054,0.1440195,7.691743E-30,6.968721E-30,0.003683903,7.210802E-41,0.003110154,1.248543E-40,0.01086564,0.01054878,0.08764471,3.19867E-16,0.0007431977,1.617753E-30,9.680361E-33,3.300058E-42,1.34879E-36,0.2224617,0.2029945,0.5150085,0.4839079,4.198533E-25,1.459464E-08,Anxious
0.04647539,0.02002775,1.401298E-45,8.565013E-10,0.5907264,0.6038021,1.401298E-45,0,0.01091311,0.07605951,0.251346,0.279099,0.02695777,0,0.02693612,3.881719E-33,0,0,0.2599531,0.1745608,0,0,0.05821805,0.05435845,0.1029736,2.758171E-37,0.01086564,0.008577783,0.2781909,1.542612E-11,0.006457902,1.04424E-10,0.5307701,0.5701725,1.401298E-45,2.942727E-44,3.386697E-39,2.398835E-37,1.401298E-45,1.401298E-45,2.403752E-37,1.96879E-37,0.05383784,0.05432822,0.3174824,0.1259372,0.2636219,0.1032241,1.401298E-45,1.401298E-45,0.07632617,0.08852973,0.06395762,0.01086564,0.01086562,0.00211104,3.902548E-39,0.01663696,0.004221513,0.0245137,0.006270628,0.4148311,0.4473415,Happy
0.3354816,0.2915636,1.583422E-36,1.401298E-45,0.08628869,0.05341377,1.401298E-45,0,0.1563842,0.106073,1.401298E-45,1.401298E-45,2.98904E-22,3.155444E-30,3.406101E-22,4.17061E-23,0,0,0.1963452,0.1105506,0,0,0.1463837,0.109195,0.01086564,0.01086564,0.01086564,2.045896E-43,0.0003907794,0.0002788876,0.5546623,0.527852,1.401298E-45,1.401298E-45,1.401298E-45,0.05352394,1.401298E-45,0.05363768,1.401298E-45,1.401298E-45,0.01086564,0.01086668,0.06658813,0.07939699,2.101948E-44,1.401298E-45,0.006891731,1.401298E-45,0.0351101,0.03317207,0.01871253,4.203895E-44,8.547921E-44,1.401298E-45,0.007799709,1.355056E-42,1.401298E-45,1.667744E-19,8.432457E-21,0.02056735,0.0003986977,1.401298E-45,1.401298E-45,Sad
0.07819562,0.2975572,4.966481E-31,3.375043E-31,0.218713,0.1744851,1.401298E-45,0,0.02845844,0.2319728,0.001657678,0.01081278,0.1413571,0.02132962,0,0,0,0,0.239943,0.1544138,0.01284349,0.01294413,0.007994407,0.005090166,0.05558873,5.554188E-07,0.003749337,1.401298E-45,0.4646421,0.3567685,0.01087221,0.004940007,0.01086564,0.01084294,1.401298E-45,1.518535E-24,1.401298E-45,2.4024E-25,2.278247E-24,1.769324E-27,0.005526449,0.005994993,0.01086564,0.01086564,0.06938773,0.03074027,0.05839472,0.01476489,6.987199E-26,2.326759E-25,0.02678449,1.401298E-45,1.401298E-45,0.01086564,2.337748E-39,0.28837,0.267032,1.305636E-14,3.093248E-21,1.264047E-09,0.03707042,0.4195778,0.3849429,Mad
1.200753E-06,2.467599E-05,1.401298E-45,4.902237E-05,0.4395359,0.4074734,1.401298E-45,0,3.96504E-27,0.09684747,0.3216285,0.344627,0.2158518,0.06065214,0,0,0,0,0.1624383,0.07646093,0.05690182,0.05717202,0.008062597,0.002736135,0.1097633,1.401298E-45,0.002749713,4.962779E-10,0.7007657,0.4415367,0.01086565,0.01082712,0.1644174,0.1672517,1.401298E-45,1.078847E-16,1.277288E-17,3.092925E-16,1.401298E-45,2.633966E-24,1.881136E-18,6.085554E-35,0.05012444,0.0697303,0.2227151,0.1756335,0.1846271,0.150613,1.401298E-45,1.401298E-45,0.03563943,0.1177769,0.111245,0.01086564,1.578917E-36,0.02711946,0.01838462,4.508999E-14,1.105394E-09,0.003895205,0.0002721019,0.4711536,0.4504861,Anxious
0.01815846,0.03907137,1.401298E-45,3.572107E-29,0.2855289,0.2712452,1.401298E-45,0,3.562403E-10,0.03156361,0.1365075,0.1478311,1.158064E-13,0,1.158064E-13,5.775439E-24,0,0,0.1688288,0.08289465,0,0,0.000533679,0.004516064,0.02716411,7.982385E-30,0.001759664,2.265584E-33,3.635319E-08,0.0308013,0.006251516,1.178762E-08,0.261531,0.2710711,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.381886E-28,0.02893782,0.02785757,0.2007259,0.06963431,0.1612124,0.05506353,1.401298E-45,1.401298E-45,0.04569697,1.580249E-24,5.114795E-24,0.01086564,9.239444E-29,3.884281E-31,1.401298E-45,2.262561E-05,0.002912137,0.01392721,0.00658213,0.1763002,0.1655705,Happy
0.5516733,0.5634558,1.065305E-25,2.220889E-18,0.1246205,0.0818754,1.401298E-45,0,0.2096957,0.1494391,8.148101E-28,3.569518E-28,2.00244E-12,0,2.00244E-12,9.846914E-32,0,0,0.218835,0.1331533,0,0,0.2556966,0.2649254,0.03007933,0.01086564,0.01086564,2.508229E-25,0.1964272,0.1787453,0.6974797,0.6848767,1.6214E-30,1.374114E-30,1.401298E-45,0.05369314,1.401298E-45,0.0405278,1.401298E-45,1.401298E-45,0.01648443,0.03125491,0.09219357,0.1031241,2.660039E-19,1.401298E-45,0.007206665,1.401298E-45,0.05919349,0.05520897,0.03814562,1.94215E-27,1.87334E-27,0.001018679,0.01086564,8.038118E-20,8.894235E-06,0.004945284,0.009840035,0.05755175,0.201194,3.060563E-26,5.18187E-26,Sad
0.0001999281,0.001156296,1.206716E-15,1.401298E-45,0.240325,0.1792732,1.401298E-45,0,0.01086564,0.2230187,0.01086564,0.0146194,0.05193629,3.838035E-11,0,0,0,0,0.2697455,0.1843584,0.08664221,0.0874237,8.585573E-14,6.838792E-14,0.2969672,5.873555E-14,0.009811924,0.01250571,0.4479051,0.3089261,0.01201262,0.006361732,0.01086564,0.004859169,1.401298E-45,1.401298E-45,1.401298E-45,3.058894E-41,1.401298E-45,1.401298E-45,0.005840084,7.130501E-08,0.01086564,0.01150068,0.1152585,0.0002025462,0.1032042,0.003388033,1.401298E-45,1.401298E-45,0.03331536,1.164479E-42,3.664395E-42,0.01086564,4.791835E-15,0.3022785,0.2803075,1.429124E-24,1.084831E-13,0.05139841,0.0726805,0.3318563,0.3009673,Mad
0.02785693,0.006520079,1.093053E-32,1.681558E-44,0.09747613,0.0823051,1.401298E-45,0,0.01086565,0.05418405,0.1570799,0.1416777,1.401298E-45,1.401298E-45,0,0,0,0,0.2577168,0.1721928,0,0,0.0432972,0.02670684,0.0542443,4.002632E-11,0.01086564,6.310619E-05,1.369217E-13,1.09099E-07,0.4175291,0.3522974,0.1938318,0.2158493,1.401298E-45,4.825186E-27,1.401298E-45,7.770926E-39,1.401298E-45,1.401298E-45,1.287727E-37,2.101948E-44,0.9999982,0.9999959,0.1488445,0.002387158,0.12966,0.01025798,1.401298E-45,1.401298E-45,0.008729666,0.8355336,0.8420728,5.296038E-37,0.01086564,1.401298E-45,1.712173E-15,0.003125134,0.03229402,0.07899076,0.1576064,0.1648545,0.2116757,Anxious
0.0005194792,0.001467652,1.401298E-45,1.826152E-26,0.1550573,0.1471162,1.401298E-45,1.401298E-45,6.969864E-06,0.01134694,0.1283184,0.1486486,5.866815E-13,4.134761E-13,0,0,0.7938094,0.86977,0,0,0.3707145,0.3593035,0.0009930568,2.037834E-05,0.01103859,4.461248E-25,3.219381E-05,1.460575E-29,4.991458E-08,0.2478251,0.0005806799,2.641343E-23,0.1692214,0.1942731,0,1.401298E-45,1.401298E-45,3.134951E-25,0,0,1.047692E-25,5.224075E-26,0.01332881,0.02098663,0.1481704,0.0966198,0.1212169,0.07722719,6.878695E-27,7.664076E-27,0.03727255,6.875272E-31,1.100675E-30,6.383152E-06,8.407791E-45,2.272854E-29,0,5.383354E-05,2.147359E-05,0.5295988,0.6511844,0.1050818,0.1079984,Happy
0.250248,0.2384438,0.001646316,1.401298E-45,0.05461131,0.02795863,1.401298E-45,1.401298E-45,0.008714272,7.827445E-07,7.470322E-42,2.278511E-42,3.180408E-27,1.121039E-44,3.180408E-27,3.305663E-42,0,0,0.2051081,0.1193602,0,0,0.2877076,0.2657605,0.06206555,2.052949E-06,1.772913E-06,1.303027E-24,0.06749816,0.04588238,0.1213868,0.09688201,1.678615E-41,5.060089E-42,0,1.679982E-06,1.401298E-45,1.972227E-06,0,0,0.002475508,0.004105657,2.052949E-06,1.391512E-06,2.272389E-13,3.595592E-41,1.863532E-13,1.658409E-40,0.001543909,0.002003476,0.03795204,1.401298E-45,1.401298E-45,4.93435E-30,1.592316E-06,1.401298E-45,0,0.1791563,0.1468921,0.5290145,0.2224892,1.13281E-41,1.151825E-40,Sad
0.5812606,0.6823183,1.731036E-33,1.401298E-45,0.09592271,0.06265534,1.401298E-45,1.401298E-45,2.317888E-41,5.509379E-32,1.401298E-45,1.401298E-45,0.003046259,4.623252E-16,0,0,0,0,0.1788479,0.09022216,0.5190318,0.5218119,0.01697593,0.040814,0.01086564,5.748126E-42,3.703585E-36,6.804085E-32,0.417763,0.5654463,0.02428622,0.01086564,1.401298E-45,1.401298E-45,0,5.093518E-31,1.401298E-45,3.184593E-31,0,0,2.264996E-28,1.787112E-28,5.256188E-36,1.816595E-35,4.027017E-31,1.401298E-45,5.889834E-31,1.401298E-45,2.269242E-28,2.438665E-28,0.01901487,6.063914E-33,4.017731E-31,1.401298E-45,8.844996E-42,1.401298E-45,0,3.303449E-18,7.450455E-18,0.5581772,0.6162474,1.401298E-45,1.728437E-35,Mad
0.0005184963,0.02592583,0.00363996,0.003548477,0.03705373,0.01086697,1.401298E-45,1.401298E-45,8.535982E-11,0.02716411,4.305026E-27,7.250262E-27,1.770865E-19,1.401298E-45,1.770865E-19,0,0,0,0.4813365,0.3983981,0,0,4.022105E-08,3.511872E-10,0.3931154,1.206198E-06,0.003391484,0.03867512,0.02629781,0.006258267,0.01087159,0.01086564,4.837258E-26,1.401298E-45,5.594591E-07,0.02793492,5.594902E-07,0.03765304,0,0,0.04359635,0.04359502,6.963157E-26,8.959122E-26,0.05144753,1.946836E-28,0.03800759,2.798041E-28,0.01157202,0.01612201,0.03750355,1.401298E-45,6.514811E-06,1.000456E-27,1.008602E-21,1.401298E-45,0,0.002202294,3.522561E-09,0.377292,0.04460109,0.009935196,0.01086564,Anxious
7.60367E-06,0.004788196,1.401298E-45,4.203895E-45,0.3817678,0.3750739,1.401298E-45,1.401298E-45,0.02046568,0.0271649,0.2893513,0.3231003,0,8.067912E-19,2.100948E-19,1.016886E-18,0,0,0.1558031,0.06977293,0,0,5.034774E-11,0.003802969,0.01086564,1.78063E-41,0.01086564,2.135571E-36,0.02459703,0.04900579,0.00342042,2.70864E-30,0.4396968,0.4700247,1.401298E-45,1.149065E-43,1.401298E-45,8.407791E-44,0,0,3.781408E-27,3.646666E-27,0.03802991,0.05432834,0.200486,0.1279938,0.1614899,0.1130381,2.583994E-42,4.136633E-42,0.03588574,4.455329E-38,3.662495E-38,0.01086564,1.401298E-45,4.016775E-05,0,0.0002433379,0.0004349283,5.27247E-06,7.252867E-10,0.1732164,0.1366545,Happy
0.2706797,0.2442069,1.401298E-45,1.401298E-45,0.07104994,0.02654083,1.401298E-45,1.401298E-45,0.1402475,0.08865628,4.667725E-42,6.698207E-43,5.780306E-23,0,5.811068E-23,3.076155E-25,0,0,0.2047018,0.118918,0,0,0.2256605,0.1903903,0.02772211,0.01060755,0.002485756,1.401298E-45,7.598091E-38,2.54806E-17,0.5813265,0.5698864,1.045369E-42,9.486791E-43,1.401298E-45,0.01056828,1.401298E-45,0.007953009,0,0,9.220792E-25,0.005898179,0.06242595,0.07375794,1.007113E-41,2.966409E-41,0.01060942,1.519022E-40,0.01494477,0.01047669,0.03023853,1.401298E-45,1.401298E-45,2.793101E-37,0.01086564,1.499389E-43,0,0.01690635,0.0235434,1.198074E-14,2.161469E-15,3.287586E-41,6.580077E-41,Sad
0.61489,0.5917757,2.344075E-23,2.149334E-23,0.1234819,0.06784035,1.401298E-45,1.401298E-45,0.1291809,0.1017369,2.654963E-20,1.109869E-20,6.283703E-35,1.206328E-08,0,0,0,0,0.09109461,0.003201154,0.416362,0.4171427,0.0002146802,6.877832E-05,0.01706452,0.0005971964,1.09757E-05,7.568959E-11,0.3296877,0.2645223,0.1951094,0.1841834,2.459182E-19,9.00285E-20,1.401298E-45,0.0001324889,1.401298E-45,1.279138E-05,0,1.653097E-23,0.01086566,0.01086566,0.00237627,0.01084425,0.01058276,2.874761E-06,0.01086564,0.00926837,0.001906518,0.0007369669,0.02950928,1.401298E-45,1.401298E-45,0.0005054622,6.935373E-15,0.1972529,0.1703354,2.18233E-21,2.713352E-21,0.5149481,0.4518433,0.01718733,0.01698186,Mad
0.06616563,0.2241222,1.401298E-45,1.401298E-45,0.1275035,0.08170965,1.401298E-45,1.401298E-45,1.401298E-45,0.05435252,0.2204246,0.2214003,4.176139E-29,0,4.176143E-29,4.954419E-35,0,0,0.226018,0.1399467,0,0,0.04218321,1.446114E-14,0.06546716,1.401298E-45,0.01075844,0.001695531,0.08962922,0.09717532,0.03766578,0.02660082,0.1190298,0.1338427,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,0.5363222,0.5784241,0.173444,0.07587926,0.1516606,0.05890756,1.401298E-45,1.401298E-45,0.01625401,0.7458022,0.7692292,1.401298E-45,6.649126E-32,1.812875E-12,1.401298E-45,0.02733029,0.04289395,0.5036945,0.3907625,0.1596905,0.1888379,Anxious
